playerID,yearID,stint,teamID,lgID,G_bat,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,run_production,run_prevention,pos_factor,POS,G_field,run_production_scaled,run_prevention_scaled,total_run_value
aardsda01,2009,1,SEA,AL,73,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.8,1.0,P,73,-1.2431395030686965,-0.9683750437881973,-1.1332337193564967
aardsda01,2010,1,SEA,AL,53,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.2000000000000002,1.0,P,53,-1.2431395030686965,-0.9840909294588137,-1.1395200736247433
abadfe01,2014,1,OAK,AL,69,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.2,1.0,P,69,-1.2431395030686965,-0.9720017866352627,-1.134684416495323
abadfe01,2015,1,OAK,AL,62,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.6,1.0,P,62,-1.2431395030686965,-0.9756285294823279,-1.136135113634149
abbotje01,2000,1,CHA,AL,80,,215,31,59,15,1,3,29.0,2.0,1.0,21,38.0,1.0,2.0,2.0,1.0,2.0,,101.1,49.3,1.0,OF,65,-0.24109720527186465,-0.6933470445524123,-0.4219971409840837
abbotku01,2000,1,NYN,NL,79,,157,22,34,7,1,6,12.0,1.0,1.0,14,51.0,2.0,1.0,0.0,1.0,2.0,,57.199999999999996,93.41499999999999,1.0875,2B,66,-0.6762075601015473,-0.4266907767219362,-0.5764008467497028
abercre01,2006,1,FLO,NL,111,,255,39,54,12,2,5,24.0,6.0,5.0,18,78.0,2.0,3.0,4.0,1.0,2.0,,99.2,85.0,1.0,OF,93,-0.25992886072007404,-0.477555845152027,-0.3469796544928552
abernbr01,2001,1,TBA,AL,79,,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0,,130.79999999999998,216.04000000000005,1.1,2B,79,0.053271303576462696,0.3145247926470344,0.1577726992046914
abernbr01,2002,1,TBA,AL,117,,463,46,112,18,4,2,40.0,10.0,4.0,25,46.0,0.0,6.0,8.0,2.0,8.0,,159.10000000000002,339.79,1.1,2B,116,0.33376385577874146,1.062540504854252,0.6252745154089456
abramcj01,2023,1,WAS,NL,151,151.0,563,83,138,28,6,18,64.0,47.0,4.0,32,118.0,2.0,13.0,3.0,3.0,7.0,,250.79999999999998,384.215,1.15,SS,151,1.2426390160949574,1.3310705898223782,1.2780116455859258
